"row.ID","SlogP","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumRings","NumAromaticRings","NumAliphaticRings","NumAromaticHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","Chi0v","Chi1v","Chi2v","Chi1n","Chi2n","kappa1","kappa2","kappa3","slogp_VSA1","slogp_VSA2","slogp_VSA3","slogp_VSA4","slogp_VSA5","slogp_VSA6","slogp_VSA7","slogp_VSA8","slogp_VSA10","slogp_VSA11","slogp_VSA12","smr_VSA1","smr_VSA2","smr_VSA3","smr_VSA4","smr_VSA5","smr_VSA6","smr_VSA7","smr_VSA9","smr_VSA10","peoe_VSA1","peoe_VSA2","peoe_VSA3","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA7","peoe_VSA8","peoe_VSA9","peoe_VSA10","peoe_VSA11","peoe_VSA12","peoe_VSA13","peoe_VSA14","MQN1","MQN2","MQN3","MQN8","MQN9","MQN10","MQN11","MQN13","MQN14","MQN16","MQN17","MQN19","MQN20","MQN21","MQN26","MQN27","MQN28","MQN29","MQN30","MQN31","MQN32","MQN35","MQN36","MQN41","MQN42"
"Model_45",5.51932,141.6674,254.1236085,102.93,502.018,501.1931528,7,4,9,4,5,8,64,64,5,4,1,2,0,2,18.18645798,9.961262977,6.95121233,23.33318758,6.573247857,7.663422811,10.51827876,5.124298967,10.61962671,33.95113313,12.7458498,6.851892117,84.40421876,60.68514008,9.258159549,11.25737949,11.63572556,0,11.60093989,47.03707696,1.431199657,20.25477367,0,38.36148419,11.8687986,93.65550736,11.25737949,29.14384518,20.70543817,4.794537184,9.967957042,0,0,35.77061472,78.76707252,43.69760562,36.09066694,5.693927995,4.235526235,7.379538938,5.907179729,0,28,0,1,2,3,2,0,39,1,17,11,9,9,7,2,1,3,3,2,21,4,1,4,2,1
"Model_44",4.842,117.5654,207.9663941,93.8,441.318,440.0806812,6,4,7,4,3,8,48,48,4,4,0,2,0,2,15.8731378,8.583782496,6.109142045,16.57774263,5.353213099,7.887538198,8.750619295,4.257824529,5.309813353,34.17356446,0,0,41.26042893,66.72755879,14.28079286,22.38428247,0,0,23.20187978,33.3294914,1.431199657,20.47720499,0,6.017892468,6.558985243,88.0302049,22.38428247,29.10905951,15.39562481,9.886243742,0,5.098681808,0,47.37155461,41.33899652,27.34506482,43.6343207,5.693927995,4.235526235,1.431199657,5.907179729,0,22,0,2,1,3,2,0,28,1,11,11,7,8,6,3,1,2,2,1,21,0,2,2,0,0
"Model_43",4.41172,136.0154,246.0009327,121.39,505.962,505.1516819,9,4,9,4,7,10,60,60,5,4,1,2,1,2,18.00295456,9.777759558,6.767708911,21.14968416,6.389744438,8.499595224,10.26817581,4.975316493,20.09335261,47.06910362,0,6.851892117,55.04843175,60.68514008,9.258159549,11.25737949,11.63572556,11.49902367,11.60093989,51.02776864,1.431199657,20.25477367,0,12.86978459,24.98676908,82.52860437,22.75640315,29.14384518,30.17916408,4.794537184,9.967957042,0,0,29.72819601,48.19088864,27.0441509,47.26108744,18.81189848,15.7345499,7.379538938,5.907179729,0,26,0,1,2,3,2,2,35,1,17,11,9,13,9,2,1,3,3,4,21,2,1,4,2,1
"CSAR_12",1.64772,105.8662,194.8952465,123.16,381.436,381.1800896,8,5,11,5,6,8,51,51,3,3,0,2,0,1,13.46081285,7.098440413,4.624524294,18.25657778,4.624524294,5.650008336,9.115237383,4.537058484,10.61962671,53.54698591,0,6.851892117,52.30691464,48.60030267,4.235526235,11.25737949,5.948339281,0,0,43.92133381,2.862399314,20.25477367,0,12.86978459,24.92464352,65.42113365,11.25737949,11.85551901,25.81424636,4.794537184,9.967957042,0,0,30.21209354,24.02121381,28.51837727,45.39116929,5.693927995,4.235526235,8.810738595,5.907179729,0,20,0,0,2,3,3,0,35,1,9,8,11,11,8,1,2,3,5,2,15,0,1,2,0,0
"CSAR_37",4.1066,126.7735,215.8079672,137.51,438.475,438.1790813,10,5,7,5,7,10,53,53,6,5,1,3,0,2,15.93317065,8.984619314,6.191220542,18.72068729,6.191220542,7.47716478,7.825363471,4.00942263,26.58738876,25.25005197,0,0,44.89511383,65.34920076,7.059210392,10.90292493,34.64622366,0,0,27.62058873,0,30.34873377,0,18.63980749,15.92944006,76.60239565,0,45.54914859,30.91436561,5.091706558,4.983978521,10.08266033,0,18.12725612,42.95794334,46.76179465,25.43974767,7.099228353,17.28309387,5.948339281,0,0,23,0,0,3,6,1,0,27,1,17,13,7,11,10,1,0,3,0,4,22,3,2,3,2,1
"CSAR_19",3.91052,115.7267,205.3286631,90.9,398.466,398.1742759,6,3,8,3,4,6,52,52,4,4,0,2,0,2,14.60535096,7.947102672,5.322462221,18.74977815,5.322462221,6.361859592,8.713595777,4.13538232,5.309813353,33.95113313,0,6.851892117,53.6776732,78.81239621,2.823684157,22.64523548,0,0,0,38.7714421,1.431199657,20.25477367,0,12.86978459,6.558985243,95.63322718,22.64523548,5.907179729,15.39562481,4.794537184,9.967957042,0,0,60.42418708,24.02121381,27.58496907,40.2029426,5.693927995,8.648088655,1.431199657,5.907179729,0,24,0,0,1,3,2,0,31,1,12,11,8,8,6,1,1,2,3,2,21,0,1,3,0,0
"CSAR_22",3.6076,144.6528,271.5424174,136.71,575.448,574.1424129,9,6,13,5,5,12,66,66,4,4,0,2,0,2,20.01481245,10.58235076,7.375116102,22.97073809,6.619187156,9.739498228,12.89979854,6.845774197,10.61265146,53.19871467,16.02825982,5.817220841,63.27108243,54.64272138,17.10447702,22.38428247,4.390415048,0,23.20187978,64.97313873,1.431199657,20.47720499,0,19.36664427,19.61483017,87.32603982,22.38428247,35.0783648,25.43532587,9.886243742,9.184952232,5.098681808,0,41.3291359,42.14846993,31.99815867,57.95745637,20.74952563,10.73238592,1.431199657,5.907179729,8.792989445,27,1,2,2,3,4,0,45,2,11,11,13,12,8,5,2,3,7,1,21,0,2,2,0,0
"CSAR_33",5.081,114.6299,204.9936078,78.84,418.884,418.1196535,6,2,5,2,4,7,49,49,5,3,2,1,2,2,15.23924438,8.470959932,5.986578154,17.48742265,5.608613681,7.096640119,7.800026725,3.61746591,10.04667631,17.44316824,12.86978459,0,62.06305907,70.91675165,7.84631747,5.57310453,0,5.749511833,11.60093989,35.65797975,0,10.28681662,10.22850025,18.88767705,6.558985243,93.65861868,5.749511833,23.08122415,15.02367958,4.794537184,0,10.22850025,0,35.77061472,40.86002931,37.94338624,33.29637011,17.4613323,2.823684157,0,5.907179729,0,23,0,1,1,3,1,1,26,1,16,10,5,8,6,2,0,2,1,3,19,3,3,2,2,1
"Model_42",4.4668,112.4714,204.5892282,93.8,442.853,442.1008099,6,4,7,4,3,9,48,48,4,4,0,2,0,2,15.49517333,8.394800259,5.920159808,16.26672486,5.542195335,8.565248846,8.70794057,4.349527133,5.309813353,34.17356446,0,11.63444168,39.88967037,60.68514008,9.258159549,22.38428247,8.780830095,0,11.60093989,40.73956294,1.431199657,20.47720499,0,6.017892468,6.558985243,88.59959457,22.38428247,17.50811962,15.39562481,9.886243742,8.780830095,5.098681808,0,29.72819601,41.33899652,22.32243151,42.26356215,5.693927995,15.86996792,1.431199657,5.907179729,0,22,2,1,1,3,2,0,28,1,11,11,7,8,6,4,1,2,2,1,21,0,2,2,0,0
"Model_41",4.3277,112.5134,201.8286633,93.8,424.863,424.1102317,6,4,7,4,3,8,48,48,4,4,0,2,0,2,15.11720885,8.205818023,5.731177572,16.57774263,5.353213099,7.682581595,8.524187285,4.122172474,5.309813353,34.17356446,0,5.817220841,41.26042893,66.72755879,9.258159549,22.38428247,4.390415048,0,11.60093989,37.71990644,1.431199657,20.47720499,0,6.017892468,6.558985243,88.82479243,22.38428247,17.50811962,15.39562481,9.886243742,4.390415048,5.098681808,0,35.77061472,41.33899652,22.32243151,43.6343207,11.51114884,4.235526235,1.431199657,5.907179729,0,22,1,1,1,3,2,0,28,1,11,11,7,8,6,3,1,2,2,1,21,0,2,2,0,0
"CSAR_11",6.08936,128.3686,234.0921094,82.7,479.506,479.193295,6,3,9,3,4,9,59,59,4,4,0,2,0,2,16.77820969,9.007138832,6.293159218,20.84877962,6.293159218,8.218994123,9.614567333,5.683216481,10.61962671,20.85214004,12.6731582,20.55567635,67.09165232,60.68514008,4.235526235,11.25737949,24.8069707,0,0,50.98723824,0,20.25477367,0,33.22883455,5.309813353,94.19632554,11.25737949,17.54290529,15.59662998,4.794537184,9.967957042,13.17124514,0,18.12725612,73.02157586,42.43031488,27.70648216,5.693927995,4.235526235,5.948339281,5.907179729,6.176298517,26,3,0,2,3,1,0,38,1,12,11,9,7,6,4,0,3,5,2,21,0,1,3,0,0
"CSAR_32",5.32708,149.7999,264.5457026,98.3,532.093,531.1733832,7,4,9,4,7,9,65,65,5,4,1,2,1,2,19.45016815,10.9290973,7.832138185,23.48452532,6.455102945,8.1774704,11.60810546,6.025046261,15.51256119,42.49540363,0,11.33111287,57.58043154,60.55466358,9.258159549,21.69797817,16.63680753,5.749511833,22.93772577,47.13547425,6.693091212,9.967957042,0,19.1187747,36.60706544,71.14074839,33.51671132,39.5745333,20.62136938,0,9.967957042,5.261891555,11.33678588,29.72819601,54.89431973,36.71333634,66.79561943,16.81981512,2.823684157,5.948339281,1.431199657,1.411842078,28,0,1,3,3,1,0,39,0,18,11,9,7,6,2,2,2,2,3,20,6,1,4,0,0
"Model_40",5.08804,129.7204,233.1752962,102.93,479.943,479.1524309,7,4,10,4,5,9,57,57,4,4,0,2,0,2,17.06442245,9.150245214,6.390194566,20.02216982,6.012230093,8.1796,10.02693361,5.081655286,10.61962671,33.95113313,0,19.52100508,59.24112469,60.68514008,9.258159549,11.25737949,16.0261406,0,11.60093989,44.57369923,1.431199657,20.25477367,0,19.7216767,11.8687986,93.90927671,11.25737949,29.14384518,20.70543817,4.794537184,14.35837209,0,0,29.72819601,55.04278076,42.40726433,36.09066694,11.51114884,4.235526235,7.379538938,5.907179729,0,25,1,1,2,3,2,0,36,1,12,11,10,9,7,3,1,3,4,2,21,0,1,3,0,0
"Model_39",4.1886,112.5554,199.0680984,93.8,406.873,406.1196535,6,4,7,4,3,7,48,48,4,4,0,2,0,2,14.73924438,8.016835786,5.542195335,16.88876039,5.164230862,6.864286579,8.343689114,4.083410103,5.309813353,34.17356446,0,0,42.63118748,72.7699775,9.258159549,22.38428247,0,0,11.60093989,34.70024995,1.431199657,20.47720499,0,6.017892468,6.558985243,89.0499903,22.38428247,17.50811962,15.39562481,9.886243742,0,5.098681808,0,53.89787084,29.25415911,22.32243151,45.00507926,5.693927995,4.235526235,1.431199657,5.907179729,0,22,0,1,1,3,2,0,28,1,11,11,7,8,6,2,1,2,2,1,21,0,2,2,0,0
"CSAR_39",3.69058,103.1845,178.9698649,85.07,363.446,363.1153812,6,2,6,2,7,7,43,43,4,3,1,2,0,1,13.36906114,7.664936994,5.831174481,15.2039023,4.832103714,5.962456496,6.316067392,2.742973075,10.20972308,30.45961869,12.7458498,11.33111287,36.56542852,30.34257004,1.411842078,11.25737949,16.63680753,5.749511833,11.33678588,27.08202861,6.693091212,9.967957042,0,12.7458498,24.16137688,46.34662022,23.07611263,27.97359341,15.31853128,0,9.967957042,5.261891555,11.33678588,6.042418708,35.9575902,51.12539105,12.54772078,21.69696232,1.411842078,5.948339281,1.431199657,0,19,0,0,3,2,1,0,24,0,13,8,6,7,6,1,2,2,2,3,14,2,1,3,4,2
"Model_38",4.9334,106.3486,190.5334411,73.57,412.827,412.0902452,5,3,5,3,2,8,44,44,4,4,0,2,0,2,14.58692504,7.940676114,5.581294337,14.90435243,5.203329864,8.119281122,7.886626308,4.045539653,5.309813353,21.07457137,6.496859684,11.63444168,32.50101934,60.68514008,9.258159549,22.38428247,8.780830095,0,11.60093989,34.25999619,0,20.47720499,0,6.496859684,0,88.59959457,22.38428247,17.50811962,10.28681662,9.886243742,8.780830095,5.098681808,0,29.72819601,41.33899652,28.81929119,28.31592588,5.693927995,15.86996792,0,5.907179729,0,21,2,1,1,3,1,0,24,1,11,11,5,6,5,4,0,2,1,1,21,0,2,2,0,0
"Model_37",5.2074,117.5574,216.5246762,93.8,474.87,474.1070382,6,4,7,4,3,10,51,51,4,4,0,2,0,2,16.3731378,8.833782496,6.289954404,17.2057071,5.911989931,9.359374689,9.126190651,4.939990856,5.309813353,34.17356446,6.176298517,0,46.82388042,66.72755879,9.258159549,22.38428247,13.17124514,0,11.60093989,46.50073654,1.431199657,20.47720499,0,12.19419099,6.558985243,88.57102308,22.38428247,17.50811962,15.39562481,9.886243742,0,18.26992695,0,35.77061472,41.33899652,22.32243151,49.1977722,5.693927995,4.235526235,1.431199657,5.907179729,6.176298517,23,3,1,1,3,2,0,31,1,11,11,7,8,6,5,1,2,3,1,21,0,2,2,0,0
"CSAR_10",1.79152,117.4641,216.7285791,132.03,422.489,422.2066387,9,5,12,5,6,9,57,57,3,3,0,2,0,1,14.90802644,7.795654009,5.051221583,20.49275668,5.051221583,6.165368214,10.3514354,5.891510997,15.92944006,52.85203223,4.794537184,6.851892117,63.27108243,48.60030267,5.647368313,11.25737949,5.948339281,0,0,49.13118055,1.431199657,25.56458702,0,19.7216767,24.86251796,65.42113365,11.25737949,17.76269874,26.01525152,9.589074368,9.967957042,0,0,30.21209354,24.02121381,45.97940474,38.83218405,5.693927995,5.647368313,13.28671867,5.907179729,0,22,0,0,3,3,3,0,40,2,9,8,12,12,9,2,1,5,6,2,15,0,1,2,0,0
"Model_36",4.3277,112.5134,201.8286633,93.8,424.863,424.1102317,6,4,7,4,3,8,48,48,4,4,0,2,0,2,15.11720885,8.205818023,5.731177572,16.57774263,5.353213099,7.682581595,8.524187285,4.122172474,5.309813353,34.17356446,0,5.817220841,41.26042893,66.72755879,9.258159549,22.38428247,4.390415048,0,11.60093989,37.71990644,1.431199657,20.47720499,0,6.017892468,6.558985243,88.82479243,22.38428247,17.50811962,15.39562481,9.886243742,4.390415048,5.098681808,0,35.77061472,41.33899652,22.32243151,43.6343207,11.51114884,4.235526235,1.431199657,5.907179729,0,22,1,1,1,3,2,0,28,1,11,11,7,8,6,3,1,2,2,1,21,0,2,2,0,0
"CSAR_26",5.0449,111.5457,207.9601377,89.84,440.425,440.1460105,6,3,7,3,4,9,51,51,4,3,1,1,1,2,15.23924438,8.266835786,5.723007695,17.56951127,5.723007695,8.324872659,8.796469216,4.472413882,5.309813353,23.98317609,6.176298517,0,66.71019298,83.00158907,2.823684157,5.57310453,13.17124514,0,0,47.83041157,1.431199657,10.28681662,10.22850025,18.21208345,6.558985243,100.7208228,0,11.48028426,15.39562481,4.794537184,0,23.39974539,0,42.29693095,29.25415911,17.30945123,46.24847263,11.71182046,2.823684157,1.431199657,5.907179729,6.176298517,23,3,0,1,3,2,0,31,1,12,10,7,8,6,4,1,2,3,2,19,1,2,2,0,0
"CSAR_30",5.1461,105.4309,185.3460685,69.61,376.847,376.1090888,5,2,5,2,3,6,44,44,4,3,1,1,1,2,13.83099609,7.562711641,5.203329864,15.57917436,4.825365391,6.459937123,7.595949759,3.830079327,5.309813353,10.884183,6.496859684,0,53.75809046,83.00158907,7.84631747,5.57310453,0,0,11.60093989,28.17959968,0,10.28681662,10.22850025,12.51475215,0,100.1800046,0,23.08122415,10.28681662,4.794537184,0,10.22850025,0,53.89787084,29.25415911,28.82894423,26.73738487,11.71182046,2.823684157,0,5.907179729,0,21,0,1,1,3,1,0,24,1,12,10,5,6,5,2,0,2,1,2,19,1,2,2,0,0
